Project_ID,Project_Type,Building_Area_m2,Green_Certification_Level,Policy_Interventions,Lifecycle_Phase,Embodied_Emissions_tCO2e,Operational_Emissions_tCO2e,Supply_Chain_Emission_Share_%,ReadyMix_Concrete_Emission_tCO2e,Electric_Power_Emission_tCO2e,Lighting_Fixture_Emission_tCO2e,Material_Reuse_%,Renewable_Energy_%,Waste_Minimization_%,Urban_Sustainability_Score,Total_Lifecycle_Emissions_tCO2e,Emission_Reduction_%,Emission_Reduction_Class
P0419,High-rise,13095,Silver,4,Operation,1047.27,2628.3,49.9,530.09,874.12,163.04,1.6,7.6,33.1,53.1,3675.57,31.9,Medium
P0420,Mid-rise,2469,Gold,2,Material Production,483.27,1065.35,45.5,486.89,1303.1,79.95,5.3,26.1,26.1,27.7,1548.62,34.3,Medium
P0421,High-rise,11485,Gold,0,Material Production,255.92,2154.24,52.6,109.93,242.2,174.5,27.5,17.0,18.3,39.5,2410.16,30.4,Medium
P0422,Low-rise,17775,Basic,1,Material Production,1904.43,2120.39,49.2,933.9,585.84,294.16,29.6,36.2,37.3,23.6,4024.82,12.2,Low
P0423,Low-rise,4970,Gold,0,Material Production,633.28,898.03,51.6,642.98,853.55,40.56,1.4,59.0,33.2,62.0,1531.31,27.5,Medium
P0424,Low-rise,10725,Gold,1,Operation,631.91,393.96,79.0,282.84,1235.8,99.5,28.7,30.5,20.0,76.3,1025.87,35.3,High
P0425,Low-rise,10056,Gold,1,Construction,350.08,1404.97,34.4,927.64,403.02,88.04,41.9,30.3,28.1,34.7,1755.05,34.4,Medium
P0426,High-rise,9706,None,2,Operation,1871.31,1080.82,76.1,923.44,1224.1,89.59,36.1,63.4,22.7,47.6,2952.13,12.6,Low
P0427,Mid-rise,10491,Platinum,2,Construction,1243.53,2484.24,54.0,990.27,659.49,126.04,6.6,40.3,23.5,21.2,3727.77,48.1,High
P0428,Low-rise,8019,Silver,2,Operation,1400.67,2460.98,61.2,886.65,364.48,249.07,29.6,39.6,13.2,83.0,3861.65,26.8,Medium
P0429,Mid-rise,14169,Basic,3,End-of-life,1840.84,1533.96,71.5,998.01,1162.58,275.6,33.6,18.3,18.5,78.5,3374.8,18.8,Medium
P0430,High-rise,5112,Silver,0,End-of-life,822.12,1937.58,48.0,320.22,227.26,76.62,1.9,42.5,3.1,24.7,2759.7,18.0,Medium
P0431,High-rise,12873,None,0,End-of-life,1318.71,1931.5,51.5,858.02,820.67,172.03,42.8,40.3,14.3,47.4,3250.21,6.4,Low
P0432,High-rise,18082,None,0,End-of-life,269.84,2533.33,50.5,840.73,189.43,198.33,45.3,27.8,27.8,91.6,2803.17,3.3,Low
P0433,Low-rise,16052,Gold,2,Material Production,536.19,1447.51,48.7,307.85,598.98,166.11,42.5,69.3,38.1,49.4,1983.7,37.4,High
P0434,Mid-rise,15146,None,1,Material Production,1696.24,1043.71,76.3,188.59,941.51,141.54,41.2,61.7,38.5,59.5,2739.95,10.0,Low
P0435,Mid-rise,5738,Silver,1,Operation,1580.18,1015.59,71.4,981.48,878.56,73.75,37.2,52.5,22.2,46.6,2595.77,23.8,Medium
P0436,Mid-rise,16077,Silver,2,Operation,831.16,1747.72,35.4,366.42,666.52,156.7,31.7,37.6,24.3,64.7,2578.88,25.1,Medium
P0437,High-rise,16004,None,4,End-of-life,878.26,1512.7,35.4,883.8,700.67,132.34,33.9,32.3,7.4,93.4,2390.96,18.5,Medium
P0438,Low-rise,4219,Platinum,0,Construction,1160.4,1488.33,51.4,103.71,417.48,242.76,40.3,12.9,27.8,94.8,2648.73,40.7,High
P0439,High-rise,802,Basic,3,End-of-life,200.43,546.07,34.9,118.92,738.24,233.81,33.1,21.4,2.8,78.1,746.5,19.9,Medium
P0440,High-rise,12644,Basic,3,Operation,634.24,2240.23,61.0,519.28,1434.56,57.52,16.4,54.2,11.4,50.3,2874.47,19.9,Medium
P0441,Mid-rise,17870,Basic,3,End-of-life,574.82,877.09,37.2,314.84,1290.63,44.79,18.8,31.8,26.7,57.1,1451.91,19.8,Medium
P0442,High-rise,10555,Basic,4,Operation,650.87,831.77,56.1,720.86,303.33,274.28,44.9,61.8,12.4,46.8,1482.64,21.6,Medium
P0443,Mid-rise,4940,None,0,End-of-life,1650.63,1414.45,30.4,609.01,141.69,169.94,0.9,10.4,2.0,93.9,3065.08,3.5,Low
P0444,Low-rise,3572,Gold,0,Construction,703.41,915.0,45.8,169.74,1406.93,260.18,34.9,35.6,33.3,73.1,1618.41,30.3,Medium
P0445,Mid-rise,14098,Platinum,4,End-of-life,544.74,1876.42,63.9,246.37,837.45,36.28,47.7,45.3,12.4,53.7,2421.16,54.7,High
P0446,Low-rise,14787,Basic,2,Construction,1107.67,1302.95,54.2,449.24,852.97,167.42,35.3,36.2,2.5,20.9,2410.62,18.1,Medium
P0447,Mid-rise,14465,Gold,2,Construction,1758.16,1512.06,78.9,267.04,1193.01,171.04,49.7,62.2,3.0,59.0,3270.22,38.0,High
P0448,High-rise,10019,Gold,3,Operation,634.43,1750.36,73.7,813.0,540.56,261.0,34.4,69.3,10.1,93.8,2384.79,40.6,High
P0449,High-rise,13880,Gold,3,Construction,341.37,849.55,48.0,474.46,774.67,47.33,1.7,8.1,7.1,59.2,1190.92,35.6,High
P0450,Low-rise,12365,Silver,4,Material Production,841.53,720.53,32.3,184.09,1456.13,87.32,41.4,9.1,31.0,33.7,1562.06,30.4,Medium
P0451,Low-rise,8625,Basic,4,Material Production,1545.77,2677.14,72.3,535.91,1041.01,133.83,14.2,9.1,12.9,21.7,4222.91,19.6,Medium
P0452,Low-rise,3791,Basic,3,Material Production,1191.24,1471.05,75.6,181.75,315.24,262.44,22.3,47.7,32.2,46.6,2662.29,15.9,Medium
P0453,Mid-rise,4533,Gold,1,Operation,1670.23,1412.65,71.0,216.04,286.52,282.89,15.6,26.1,7.0,88.9,3082.88,36.0,High
P0454,Mid-rise,5605,Gold,4,Material Production,1927.27,396.15,36.4,315.65,385.97,297.96,13.4,51.3,19.7,94.7,2323.42,42.8,High
P0455,Low-rise,17587,None,0,Operation,1626.79,1644.54,79.9,873.57,1173.4,288.57,21.6,28.4,27.5,90.9,3271.33,6.2,Low
P0456,High-rise,8633,Basic,1,Operation,1286.85,1796.26,42.9,932.15,513.53,21.66,18.9,43.9,26.1,74.7,3083.11,15.8,Medium
P0457,Mid-rise,17458,Platinum,4,Material Production,1088.01,1808.87,66.2,843.63,129.94,33.36,31.7,53.9,24.0,61.9,2896.88,52.5,High
P0458,Mid-rise,6204,Gold,1,Construction,272.12,2208.98,75.4,400.67,1421.84,61.33,40.7,38.4,37.0,64.3,2481.1,36.9,High
P0459,Mid-rise,8348,Platinum,1,End-of-life,1971.78,779.2,41.8,345.2,337.6,117.68,14.9,37.8,9.1,60.4,2750.98,46.6,High
P0460,Low-rise,13475,Gold,0,Operation,890.27,981.0,75.4,594.24,113.38,252.38,10.7,6.2,19.7,73.0,1871.27,29.7,Medium
P0461,Low-rise,7424,Basic,4,Material Production,474.01,2488.97,45.5,749.67,431.98,269.94,33.3,28.8,35.4,51.4,2962.98,21.8,Medium
P0462,Low-rise,988,Silver,2,Operation,1400.08,2857.36,78.8,994.04,429.04,72.31,33.5,38.2,3.1,70.2,4257.44,27.4,Medium
P0463,Low-rise,7614,Gold,3,Construction,711.72,667.02,44.1,218.41,690.81,193.51,45.1,32.3,2.2,29.1,1378.74,40.4,High
P0464,Low-rise,16240,None,1,Construction,1254.4,1643.65,77.7,144.36,1388.55,276.86,0.8,63.1,9.3,39.9,2898.05,8.8,Low
P0465,High-rise,3673,Silver,3,Material Production,1256.18,878.28,32.7,724.92,1330.86,149.84,42.7,63.5,25.3,82.7,2134.46,25.2,Medium
P0466,High-rise,2167,Gold,3,Operation,1002.31,462.2,65.5,849.0,739.65,48.99,26.1,57.5,10.4,87.8,1464.51,39.7,High
P0467,Low-rise,4614,None,1,End-of-life,1705.01,1178.86,56.6,861.71,675.26,148.19,31.1,26.3,7.6,60.4,2883.87,12.2,Low
P0468,Mid-rise,4053,Gold,2,End-of-life,676.94,687.96,53.9,710.62,877.01,125.22,4.6,50.2,18.4,22.4,1364.9,36.5,High
P0469,Low-rise,8261,Silver,1,Operation,1007.54,2216.82,41.2,958.61,440.84,181.74,21.6,27.7,24.5,89.5,3224.36,27.2,Medium
P0470,High-rise,1500,Platinum,4,Operation,1167.85,1741.06,65.3,559.9,173.06,142.82,11.4,16.3,9.9,72.7,2908.91,53.5,High
P0471,High-rise,16138,None,3,Operation,1394.52,688.35,39.5,922.43,1414.91,24.86,12.7,24.0,12.0,51.1,2082.87,15.2,Medium
P0472,Mid-rise,18272,Basic,4,Material Production,1611.15,324.95,57.6,971.03,361.38,298.32,25.2,5.0,24.5,64.9,1936.1,22.8,Medium
P0473,High-rise,5950,Silver,1,Construction,910.65,2482.02,42.7,862.44,377.76,172.19,40.6,23.2,37.8,52.2,3392.67,23.9,Medium
P0474,Low-rise,4212,Basic,3,End-of-life,1362.88,775.72,77.8,378.78,761.44,152.62,37.2,32.3,27.0,54.9,2138.6,19.5,Medium
P0475,Mid-rise,1867,Gold,3,Material Production,471.1,1936.78,31.4,276.59,788.26,287.29,29.5,66.9,31.3,86.5,2407.88,35.7,High
P0476,Low-rise,8689,Gold,3,Operation,1878.77,1209.69,40.0,593.31,125.81,63.64,27.0,21.9,14.7,32.1,3088.46,35.9,High
P0477,Low-rise,9513,None,4,Operation,889.51,1880.81,42.1,507.71,307.14,72.99,21.4,63.2,10.9,27.8,2770.32,17.2,Medium
P0478,Mid-rise,17338,Silver,1,Construction,1513.14,1152.26,50.7,889.98,629.42,246.24,48.6,16.0,18.2,20.2,2665.4,23.1,Medium
P0479,Low-rise,19656,Silver,0,Operation,236.61,534.74,41.6,190.03,1057.22,93.03,28.0,13.4,32.3,43.6,771.35,21.0,Medium
P0480,High-rise,4226,Basic,3,Material Production,569.34,901.97,54.6,331.97,419.79,243.78,12.7,36.3,18.3,31.1,1471.31,16.6,Medium
P0481,Low-rise,5306,Platinum,3,Material Production,1076.75,807.76,73.6,776.62,692.22,96.03,11.5,47.1,33.9,36.5,1884.51,48.0,High
P0482,Mid-rise,2690,Gold,2,Construction,1780.85,1455.65,65.6,185.49,880.28,29.29,30.6,3.1,39.6,20.8,3236.5,35.4,High
P0483,Mid-rise,9608,Gold,1,Material Production,1149.06,2077.37,59.0,388.69,1344.03,164.76,26.1,15.5,2.9,37.0,3226.43,34.1,Medium
P0484,Mid-rise,12678,Gold,2,End-of-life,1873.77,1012.28,34.5,448.44,556.5,75.07,0.4,31.9,1.8,45.0,2886.05,39.1,High
P0485,Low-rise,3375,Silver,1,Material Production,1070.83,332.59,64.7,660.33,286.98,232.2,41.5,23.2,6.0,22.4,1403.42,23.8,Medium
P0486,Mid-rise,6092,Platinum,2,Material Production,1082.81,1701.13,38.3,242.32,784.98,199.54,35.2,49.9,15.4,65.6,2783.94,49.0,High
P0487,Mid-rise,18324,Gold,3,Material Production,415.54,1935.55,69.3,874.54,1145.41,278.61,33.1,35.8,5.2,62.7,2351.09,38.2,High
P0488,Low-rise,13092,Gold,3,End-of-life,1644.78,2899.75,42.5,502.79,253.8,239.24,3.4,11.2,34.8,27.3,4544.53,40.3,High
P0489,High-rise,9427,Platinum,1,Operation,644.54,1891.57,50.9,925.32,694.56,70.62,18.1,62.6,0.9,64.6,2536.11,47.0,High
P0490,Low-rise,14937,Basic,2,Material Production,1819.3,1572.17,47.5,521.08,124.9,244.04,46.8,20.5,12.6,94.9,3391.47,15.0,Medium
P0491,Mid-rise,12030,Gold,1,Construction,1839.48,1848.18,72.9,347.54,146.98,199.69,43.1,51.2,7.4,90.8,3687.66,32.1,Medium
P0492,Mid-rise,7510,None,0,End-of-life,1897.96,2805.33,36.3,227.65,776.13,207.31,14.3,54.6,37.3,20.2,4703.29,3.1,Low
P0493,Low-rise,11707,Basic,3,Construction,1136.41,2536.62,58.3,103.37,517.48,253.03,7.9,67.4,26.8,79.7,3673.03,20.9,Medium
P0494,High-rise,3489,Basic,4,Material Production,1418.77,1172.04,37.1,578.94,1283.15,180.67,22.5,34.9,36.5,46.5,2590.81,24.5,Medium
P0495,Mid-rise,12540,Platinum,1,Construction,1601.33,940.59,65.2,196.44,943.02,150.48,17.8,43.1,38.9,24.8,2541.92,46.6,High
P0496,Mid-rise,9718,Platinum,3,Material Production,435.83,1009.11,75.3,452.55,735.51,198.26,34.1,23.4,19.9,42.2,1444.94,49.9,High
P0497,Mid-rise,6971,Gold,4,End-of-life,1281.72,1661.94,51.7,630.34,671.11,103.43,48.3,47.5,9.4,44.1,2943.66,39.6,High
P0498,Low-rise,3363,Gold,4,Construction,261.74,2308.93,54.4,348.12,796.14,71.13,18.2,32.4,7.7,59.2,2570.67,42.3,High
P0499,Mid-rise,11193,Silver,0,Construction,1095.62,1658.69,76.4,257.7,156.61,192.64,3.1,30.6,8.9,69.6,2754.31,20.5,Medium
P0500,High-rise,1677,Platinum,4,Material Production,478.72,483.05,56.0,797.25,1349.91,85.48,44.9,59.9,28.3,76.2,961.77,52.0,High
P0501,Mid-rise,5260,Silver,1,Material Production,529.26,2253.67,54.4,952.11,1497.62,42.38,1.9,3.5,1.6,38.4,2782.93,25.3,Medium
P0502,Mid-rise,511,Basic,1,Operation,857.09,2476.12,58.9,190.4,354.08,20.16,47.6,61.7,2.1,44.1,3333.21,17.9,Medium
P0503,High-rise,16853,None,0,Material Production,978.39,1081.64,64.5,240.03,268.54,190.33,33.2,59.6,24.3,43.1,2060.03,6.5,Low
P0504,Mid-rise,12056,Gold,2,Material Production,1321.71,2093.14,35.3,964.01,301.01,121.4,47.1,35.4,25.7,47.2,3414.85,37.1,High
P0505,Low-rise,12063,Gold,0,Operation,333.97,1451.8,71.1,134.01,1025.44,230.65,10.0,34.3,26.6,95.0,1785.77,27.5,Medium
P0506,Low-rise,14551,Basic,1,Material Production,1106.65,2700.62,51.8,979.87,1026.02,125.05,2.0,25.3,14.9,78.3,3807.27,12.5,Low
P0507,Low-rise,11522,None,1,Material Production,528.73,2582.11,33.6,104.18,1287.09,156.08,24.4,69.6,32.2,93.1,3110.84,7.5,Low
P0508,High-rise,8734,Gold,4,Operation,1233.16,1718.67,69.3,886.3,1152.56,133.98,22.5,7.8,21.3,72.0,2951.83,39.8,High
P0509,Mid-rise,16673,None,4,End-of-life,1347.33,2167.06,48.8,376.59,729.57,202.16,16.6,41.3,4.2,50.5,3514.39,17.6,Medium
P0510,Low-rise,13678,Gold,1,End-of-life,1202.08,2685.04,35.0,944.73,958.0,119.72,47.9,47.7,31.9,49.2,3887.12,36.9,High
P0511,High-rise,7070,Platinum,4,Material Production,1528.93,1638.44,61.7,385.25,1063.6,289.85,41.1,65.4,38.1,56.6,3167.37,51.0,High
P0512,Mid-rise,906,Silver,4,Material Production,804.1,1145.78,74.0,688.88,817.83,282.12,33.1,54.6,2.4,51.3,1949.88,32.2,Medium
P0513,High-rise,9706,Basic,3,Operation,1577.19,2334.9,74.4,172.03,765.91,257.45,8.1,45.1,15.7,82.1,3912.09,17.0,Medium
P0514,Low-rise,4931,Gold,0,Operation,978.98,894.18,77.9,318.1,1003.14,277.68,36.7,8.2,19.5,54.9,1873.16,27.3,Medium
P0515,Low-rise,7042,Gold,3,End-of-life,1071.53,1349.03,73.4,796.31,880.46,145.76,36.4,26.2,5.9,42.2,2420.56,37.8,High
P0516,Low-rise,9406,Silver,4,Construction,1366.58,2637.46,30.1,575.82,1001.52,170.2,21.3,9.7,34.7,78.1,4004.04,31.1,Medium
P0517,High-rise,4646,Platinum,3,Material Production,233.05,2255.94,49.0,935.17,958.0,227.79,46.2,61.7,11.4,84.1,2488.99,46.8,High
P0518,High-rise,12546,None,1,Construction,1377.19,1390.29,70.9,485.88,1106.88,214.92,8.3,52.5,31.3,51.5,2767.48,12.9,Low
P0519,Low-rise,13111,Silver,2,Construction,1313.45,879.81,48.3,882.83,999.92,269.39,13.4,53.0,26.8,70.1,2193.26,27.0,Medium
P0520,High-rise,13576,Gold,3,Operation,757.72,1261.11,60.1,504.06,827.64,220.57,3.2,45.7,23.9,24.4,2018.83,39.4,High
P0521,Low-rise,17024,Platinum,2,Material Production,354.43,1067.08,60.3,981.32,1054.52,299.41,39.8,35.5,7.7,59.7,1421.51,48.0,High
P0522,Low-rise,5382,None,0,Material Production,363.68,775.44,48.3,963.85,729.27,117.58,31.1,10.5,8.8,23.4,1139.12,7.8,Low
P0523,Mid-rise,14613,Gold,1,Operation,1861.8,2307.0,75.2,396.22,438.34,253.24,15.7,23.1,1.9,22.2,4168.8,37.9,High
P0524,High-rise,14145,Silver,4,Construction,1440.7,980.59,55.2,897.33,101.99,215.34,8.2,9.6,9.6,66.0,2421.29,33.8,Medium
P0525,Low-rise,6512,Basic,4,Operation,428.78,1526.25,53.2,862.85,883.95,213.59,2.0,50.7,13.8,42.8,1955.03,22.8,Medium
P0526,Low-rise,17847,None,0,End-of-life,842.1,1341.82,79.9,289.61,926.92,111.23,8.3,11.2,33.3,75.7,2183.92,3.5,Low
P0527,High-rise,7651,Platinum,4,Material Production,1266.47,2951.61,54.7,661.86,1460.87,239.97,22.7,49.1,14.7,87.2,4218.08,53.9,High
P0528,Mid-rise,4110,None,1,End-of-life,1704.03,1355.95,38.9,165.41,606.07,272.11,12.4,48.5,30.2,30.5,3059.98,7.2,Low
P0529,Mid-rise,10384,Basic,3,Operation,278.59,515.95,55.7,853.04,651.79,81.19,12.9,32.2,17.6,74.3,794.54,21.0,Medium
P0530,Low-rise,7394,Basic,3,Material Production,625.94,542.53,70.7,257.09,382.52,195.14,43.8,9.5,31.4,58.6,1168.47,16.8,Medium
P0531,High-rise,13967,Platinum,4,End-of-life,1801.55,1895.04,68.8,163.73,198.75,129.8,25.8,22.0,39.1,28.4,3696.59,53.3,High
P0532,Mid-rise,16989,Gold,4,End-of-life,216.5,1918.28,69.4,460.2,1181.93,297.07,36.5,22.4,9.6,68.9,2134.78,41.3,High
P0533,High-rise,10373,Gold,1,Construction,562.52,1430.65,65.4,619.23,449.55,154.07,1.8,49.0,34.5,65.7,1993.17,33.7,Medium
P0534,High-rise,12789,Basic,4,Material Production,1926.24,1465.98,42.7,869.43,952.47,83.93,18.3,8.0,24.9,58.7,3392.22,21.4,Medium
P0535,Low-rise,12708,Silver,0,End-of-life,1304.12,445.62,73.1,976.82,1062.88,126.92,24.0,58.0,32.7,89.5,1749.74,20.4,Medium
P0536,Mid-rise,11328,Silver,3,End-of-life,671.01,1694.68,74.7,495.54,759.73,203.07,9.3,53.3,26.1,59.1,2365.69,28.1,Medium
P0537,Low-rise,2637,Gold,3,Construction,320.58,1662.8,39.7,154.4,1326.89,41.31,6.0,13.0,17.0,94.3,1983.38,40.6,High
P0538,Mid-rise,1786,Platinum,3,End-of-life,250.74,703.78,36.5,774.2,721.31,189.01,43.5,50.3,9.1,58.2,954.52,45.1,High
P0539,Mid-rise,16210,None,1,End-of-life,640.54,580.37,78.8,608.66,498.87,280.74,47.0,46.8,2.8,28.7,1220.91,9.9,Low
P0540,Mid-rise,11871,Gold,4,End-of-life,1786.67,633.65,73.4,503.1,1354.42,258.1,3.9,52.4,21.4,55.3,2420.32,40.7,High
P0541,Mid-rise,16445,None,0,Construction,948.64,572.78,74.7,378.34,1306.19,38.95,17.5,13.2,39.6,33.7,1521.42,6.9,Low
P0542,Mid-rise,7552,Silver,0,End-of-life,1496.6,1946.21,74.3,552.16,329.66,298.15,47.9,11.0,29.5,64.8,3442.81,17.5,Medium
P0543,High-rise,4154,Basic,3,End-of-life,1852.91,830.5,57.1,404.81,136.35,215.64,4.2,16.6,13.1,72.0,2683.41,20.4,Medium
P0544,Low-rise,19243,Basic,2,Material Production,934.47,978.86,62.3,781.31,225.98,65.44,32.2,25.6,33.1,55.1,1913.33,14.2,Low
P0545,High-rise,16100,Basic,4,Material Production,544.3,768.64,57.3,589.5,501.17,23.48,48.6,55.6,30.8,27.3,1312.94,24.2,Medium
P0546,Mid-rise,9136,Silver,1,Construction,1130.81,2886.16,32.6,889.16,1461.16,67.96,48.9,51.7,11.3,55.1,4016.97,22.9,Medium
P0547,Low-rise,6941,Basic,0,Operation,1834.55,2607.47,67.3,589.19,881.92,254.69,23.6,64.8,0.6,26.1,4442.02,10.0,Low
P0548,Mid-rise,10167,Gold,4,Material Production,1647.87,922.34,55.3,314.44,622.57,26.06,8.1,4.1,4.7,71.2,2570.21,44.1,High
P0549,Low-rise,12649,Silver,2,Construction,318.49,1184.43,62.4,865.98,1344.2,85.28,10.1,0.8,35.1,79.3,1502.92,26.2,Medium
P0550,High-rise,2298,None,0,End-of-life,1446.63,866.71,55.1,601.5,734.39,232.05,44.5,48.9,33.5,92.2,2313.34,4.9,Low
P0551,Low-rise,10100,Gold,3,End-of-life,1229.42,1628.07,54.6,286.16,541.33,184.11,45.6,19.6,11.8,31.2,2857.49,38.5,High
P0552,Low-rise,5995,Basic,2,Construction,1833.43,352.95,38.6,661.16,1417.71,239.17,30.4,23.4,11.4,59.9,2186.38,18.3,Medium
P0553,Low-rise,10400,Silver,3,End-of-life,420.47,2112.69,43.9,421.95,1289.32,228.92,38.3,38.3,31.7,62.6,2533.16,25.3,Medium
P0554,Low-rise,14173,Gold,2,End-of-life,1161.27,1712.53,37.9,859.97,1281.14,34.17,37.0,7.2,37.5,89.2,2873.8,35.9,High
P0555,Low-rise,11630,Basic,4,Operation,1783.03,2726.33,39.8,507.97,817.2,269.9,33.1,45.0,31.2,67.0,4509.36,20.6,Medium
P0556,Mid-rise,15722,None,4,End-of-life,938.04,743.86,78.6,753.8,1205.21,83.57,41.4,22.8,24.2,30.9,1681.9,17.0,Medium
P0557,Low-rise,1800,Basic,3,Material Production,1067.59,2471.09,37.7,185.98,351.09,174.95,34.3,44.3,9.7,52.7,3538.68,18.5,Medium
P0558,Low-rise,9935,Platinum,0,End-of-life,326.83,2438.29,43.5,456.42,902.51,200.4,26.7,58.4,21.0,69.1,2765.12,41.3,High
P0559,High-rise,19981,Silver,4,Construction,700.66,643.39,59.5,984.92,1477.38,67.22,11.8,12.0,9.3,72.5,1344.05,33.4,Medium
P0560,Low-rise,5116,Gold,3,Operation,784.11,1376.11,60.5,827.61,507.34,293.34,37.2,65.2,32.3,84.7,2160.22,38.3,High
P0561,High-rise,16893,Silver,3,End-of-life,1901.22,759.41,37.7,243.95,1212.09,156.68,23.7,37.1,15.5,33.5,2660.63,29.9,Medium
P0562,Mid-rise,11117,None,1,Construction,708.8,987.75,69.7,349.99,786.67,36.14,14.7,64.6,33.3,91.4,1696.55,7.3,Low
P0563,Low-rise,6252,Silver,4,Material Production,1029.56,1010.76,69.3,396.83,155.73,282.43,40.1,14.5,15.3,24.4,2040.32,32.7,Medium
P0564,High-rise,10352,Gold,3,End-of-life,1408.35,1801.84,41.9,685.33,1168.23,184.15,34.8,42.3,33.0,93.8,3210.19,36.9,High
P0565,High-rise,6795,None,0,Operation,491.93,1410.81,44.4,781.3,336.0,215.77,46.9,28.3,13.3,84.3,1902.74,2.9,Low
P0566,Mid-rise,17956,Basic,2,End-of-life,1075.6,2858.88,76.9,774.57,984.06,167.05,8.3,54.2,17.6,69.5,3934.48,15.3,Medium
P0567,Low-rise,3725,Basic,4,Construction,1529.37,641.2,71.3,558.89,219.93,253.73,32.5,42.4,24.6,75.1,2170.57,23.1,Medium
P0568,Low-rise,1816,Silver,0,Operation,1760.34,2928.97,64.9,829.74,1425.61,29.28,12.2,34.6,2.8,25.5,4689.31,20.3,Medium
P0569,High-rise,12837,Platinum,4,End-of-life,1327.27,922.72,34.1,493.37,508.41,95.15,45.2,63.9,37.9,23.1,2249.99,53.4,High
P0570,Low-rise,7307,None,3,Material Production,1404.3,2386.76,50.9,211.49,417.05,151.5,5.0,26.4,22.9,27.6,3791.06,13.2,Low
P0571,High-rise,4183,Silver,3,Operation,427.31,1215.22,58.0,608.0,280.79,41.45,32.8,15.4,20.3,26.6,1642.53,29.2,Medium
P0572,Low-rise,7727,None,1,Material Production,1902.4,686.32,39.4,957.07,1424.4,217.65,39.6,42.6,33.6,61.1,2588.72,10.9,Low
P0573,High-rise,3773,Platinum,1,Construction,438.63,2616.3,52.4,813.69,1096.67,130.23,17.7,43.7,34.6,36.2,3054.93,43.5,High
P0574,Low-rise,645,None,4,End-of-life,1594.41,1133.92,60.1,620.83,1138.33,96.35,47.7,30.7,20.9,84.5,2728.33,16.9,Medium
P0575,Mid-rise,5510,Silver,1,Material Production,676.67,2078.91,46.4,682.13,799.17,20.95,42.5,34.1,37.1,53.4,2755.58,22.0,Medium
P0576,Low-rise,16535,Gold,3,Construction,1880.47,1829.4,69.0,937.51,764.62,221.55,14.7,67.2,2.6,72.2,3709.87,36.0,High
P0577,Low-rise,3540,Gold,1,End-of-life,1495.93,1573.74,72.0,485.51,254.03,253.47,0.4,51.3,4.5,69.0,3069.67,35.2,High
P0578,Mid-rise,10154,Silver,0,Construction,1556.86,1638.71,46.2,398.25,883.78,130.61,14.8,7.7,23.9,44.0,3195.57,19.3,Medium
P0579,Low-rise,17366,Basic,0,Material Production,594.31,2277.04,71.9,979.52,445.68,177.98,14.1,14.8,14.2,38.2,2871.35,7.3,Low
P0580,Mid-rise,18133,Basic,2,Construction,997.47,536.99,35.2,877.1,1468.0,83.75,44.5,68.3,18.6,45.7,1534.46,14.3,Low
P0581,Low-rise,17514,Basic,4,Operation,1312.06,2104.09,71.9,390.74,1215.21,194.22,48.4,50.9,13.1,79.7,3416.15,20.5,Medium
P0582,High-rise,15496,Basic,1,End-of-life,1585.95,2718.69,37.6,517.4,678.19,23.4,3.5,64.1,16.2,64.0,4304.64,15.6,Medium
P0583,High-rise,16836,Silver,1,Construction,387.13,456.03,34.1,473.57,311.88,156.82,23.6,21.3,32.9,39.0,843.16,23.4,Medium
P0584,Low-rise,9353,Basic,1,Material Production,1932.26,679.76,62.1,234.19,1199.46,200.38,27.4,51.9,23.7,81.3,2612.02,17.4,Medium
P0585,Low-rise,12195,Basic,2,End-of-life,1802.4,2234.91,53.6,962.04,270.88,277.09,4.6,50.0,39.9,24.1,4037.31,14.9,Low
P0586,Low-rise,3352,Gold,2,Operation,686.63,1480.66,75.4,463.88,365.07,126.77,18.9,20.6,31.5,72.4,2167.29,39.6,High
P0587,High-rise,16514,Platinum,4,End-of-life,1680.97,1389.58,48.2,887.8,396.13,234.25,15.9,38.6,10.9,52.9,3070.55,52.0,High
P0588,Low-rise,1487,Silver,2,Operation,1132.98,669.81,44.4,270.42,879.65,187.35,26.8,43.9,10.6,74.8,1802.79,29.6,Medium
P0589,High-rise,8122,None,2,End-of-life,1031.25,1668.28,55.0,593.08,1201.88,279.56,33.1,33.7,13.4,89.6,2699.53,12.3,Low
P0590,Mid-rise,9660,None,0,Construction,765.98,641.67,52.8,121.57,540.04,131.55,35.2,57.9,33.7,76.3,1407.65,2.5,Low
P0591,High-rise,17984,Platinum,4,Construction,1245.74,1586.88,47.2,787.8,218.54,109.35,6.8,58.3,1.1,53.1,2832.62,54.4,High
P0592,High-rise,7152,Basic,1,Material Production,1513.8,2361.76,64.7,622.82,750.35,268.4,40.6,59.5,9.2,31.3,3875.56,15.5,Medium
P0593,Mid-rise,7921,None,0,Operation,939.68,997.31,68.0,663.03,1147.35,33.79,33.9,56.2,36.2,80.5,1936.99,4.9,Low
P0594,High-rise,1269,Silver,3,Material Production,1332.59,1598.12,72.6,146.55,410.33,58.19,44.5,34.2,25.6,54.6,2930.71,25.8,Medium
P0595,Low-rise,18227,Silver,2,Construction,1458.76,2978.44,78.6,289.93,407.89,43.07,22.5,26.7,9.1,25.6,4437.2,30.0,Medium
